trade_date,symbol,window_id,window_start,window_end,open_price,close_price,vwap,deal_amount,data_P,data_P_source
20260709,600009.SH,0,09:30,09:35,22.68,22.62,,20859768,-0.002646,trade_window
20260709,600009.SH,1,09:35,09:40,22.62,22.58,,8943299,-0.001768,trade_window
20260709,600009.SH,2,09:40,09:45,22.58,22.58,,5167462.22,0,trade_window
20260709,600009.SH,3,09:45,09:50,22.59,22.72,,5801611,0.0062,trade_window
20260709,600009.SH,4,09:50,09:55,22.71,22.7,,5517333,-0.00088,trade_window
20260709,600009.SH,5,09:55,10:00,22.7,22.73,,4573204.4,0.001322,trade_window
20260709,600009.SH,6,10:00,10:05,22.73,22.68,,3057374.6,-0.0022,trade_window
20260709,600009.SH,7,10:05,10:10,22.68,22.69,,1820691,0.000441,trade_window
20260709,600009.SH,8,10:10,10:15,22.69,22.65,,4598624,-0.001763,trade_window
20260709,600009.SH,9,10:15,10:20,22.68,22.62,,1959007,-0.001325,trade_window
20260709,600009.SH,10,10:20,10:25,22.63,22.62,,3226606,0,trade_window
20260709,600009.SH,11,10:25,10:30,22.62,22.59,,5387520.82,-0.001326,trade_window
20260709,600009.SH,12,10:30,10:35,22.59,22.49,,16464653.87,-0.004427,trade_window
20260709,600009.SH,13,10:35,10:40,22.5,22.5,,5312741,0.000445,trade_window
20260709,600009.SH,14,10:40,10:45,22.5,22.43,,19108987,-0.003111,trade_window
20260709,600009.SH,15,10:45,10:50,22.43,22.44,,5036807,0.000446,trade_window
20260709,600009.SH,16,10:50,10:55,22.43,22.51,,5229817,0.003119,trade_window
20260709,600009.SH,17,10:55,11:00,22.51,22.49,,1721268,-0.000888,trade_window
20260709,600009.SH,18,11:00,11:05,22.5,22.5,,1916321,0.000445,trade_window
20260709,600009.SH,19,11:05,11:10,22.5,22.48,,2845735,-0.000889,trade_window
20260709,600009.SH,20,11:10,11:15,22.47,22.51,,1985471.48,0.001335,trade_window
20260709,600009.SH,21,11:15,11:20,22.51,22.52,,1733617,0.000444,trade_window
20260709,600009.SH,22,11:20,11:25,22.51,22.47,,2837938,-0.00222,trade_window
20260709,600009.SH,23,11:25,11:30,22.47,22.49,,1703521,0.00089,trade_window
20260709,600009.SH,24,13:00,13:05,22.49,22.48,,4201204,-0.000445,trade_window
20260709,600009.SH,25,13:05,13:10,22.48,22.51,,3062321,0.001335,trade_window
20260709,600009.SH,26,13:10,13:15,22.51,22.49,,2930582,-0.000888,trade_window
20260709,600009.SH,27,13:15,13:20,22.48,22.4,,7696552,-0.004002,trade_window
20260709,600009.SH,28,13:20,13:25,22.4,22.4,,4677663,0,trade_window
20260709,600009.SH,29,13:25,13:30,22.4,22.43,,4449294,0.001339,trade_window
20260709,600009.SH,30,13:30,13:35,22.41,22.4,,4664922,-0.001337,trade_window
20260709,600009.SH,31,13:35,13:40,22.41,22.4,,3520169,0,trade_window
20260709,600009.SH,32,13:40,13:45,22.39,22.37,,8850942,-0.001339,trade_window
20260709,600009.SH,33,13:45,13:50,22.38,22.38,,4087503.29,0.000447,trade_window
20260709,600009.SH,34,13:50,13:55,22.37,22.41,,3212489.39,0.00134,trade_window
20260709,600009.SH,35,13:55,14:00,22.41,22.45,,2729121,0.001785,trade_window
20260709,600009.SH,36,14:00,14:05,22.44,22.45,,2463094,0,trade_window
20260709,600009.SH,37,14:05,14:10,22.45,22.42,,3046332,-0.001336,trade_window
20260709,600009.SH,38,14:10,14:15,22.43,22.41,,6220025,-0.000446,trade_window
20260709,600009.SH,39,14:15,14:20,22.42,22.41,,1794235,0,trade_window
20260709,600009.SH,40,14:20,14:25,22.41,22.43,,1798135,0.000892,trade_window
20260709,600009.SH,41,14:25,14:30,22.43,22.4,,13599086,-0.001337,trade_window
20260709,600009.SH,42,14:30,14:35,22.39,22.39,,8950768,-0.000446,trade_window
20260709,600009.SH,43,14:35,14:40,22.38,22.39,,9940881,0,trade_window
20260709,600009.SH,44,14:40,14:45,22.38,22.45,,11094243.42,0.00268,trade_window
20260709,600009.SH,45,14:45,14:50,22.45,22.48,,4221721,0.001336,trade_window
20260709,600009.SH,46,14:50,14:55,22.48,22.46,,5692065,-0.00089,trade_window
20260709,600009.SH,47,14:55,15:00,22.46,22.48,,4375248,0.00089,trade_window
